pose_id,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
887,52.270233,56.019627,55.22043,153.79372,165.99554,154.52835,153.45137
888,51.540394,83.01319,49.12516,164.39207,166.71613,124.01856,161.50394
889,94.50798,77.4746,16.018661,164.54498,175.61046,149.71162,143.8272
890,82.22214,71.34117,69.924065,168.2855,173.1407,151.7006,128.92926
891,78.59907,81.72623,53.814552,163.02344,164.49127,127.9252,159.729
892,71.74261,86.16458,87.091194,160.61903,171.19717,149.4397,147.61627
893,69.608315,97.07299,23.887613,166.75537,176.17705,131.00226,167.06346
894,64.58798,54.88341,70.68071,172.35529,158.15082,170.85442,150.57045
895,90.555016,41.34759,9.886701,176.74554,170.43109,166.14667,151.47762
896,88.62114,79.30052,9.036745,173.61487,173.22015,154.867,142.18703
897,58.12529,61.60999,73.048035,178.66249,155.46857,157.7109,137.42236
898,67.24388,59.372265,41.01545,161.68413,143.63147,140.90518,124.11163
899,91.04404,53.227016,39.806725,163.31288,165.43506,171.60762,131.35849
900,62.66111,78.350296,33.994663,170.7325,160.6739,142.48929,168.67041
901,61.025715,55.800148,23.693754,148.76746,128.58864,162.89139,142.22702
902,22.11898,29.300888,2.1544955,158.91202,158.32607,150.58719,140.81676
903,59.976334,77.6019,35.545498,172.31316,160.60916,148.07953,164.1657
904,35.03007,29.497616,103.61229,107.90712,98.311516,88.59966,152.95683
905,87.38866,93.73253,71.59288,39.219105,41.59828,96.20082,97.78946
906,118.24554,122.56339,65.50226,38.824917,41.829365,61.308,57.57964
907,99.17512,120.55994,66.99535,39.367813,42.855774,74.12495,60.318005
908,123.76083,113.99531,35.90658,87.29997,100.69525,99.399376,52.896027
909,121.458336,110.19745,30.696299,90.428764,93.65324,105.01407,68.38176
910,115.374306,156.0516,64.580635,77.06968,74.91281,103.31145,133.21326
911,150.14563,165.2084,64.37183,87.12993,73.76861,129.80792,143.21326
912,150.00687,13.458686,29.30806,131.75862,116.20771,134.06462,73.74666
913,140.4488,26.3746,31.919893,113.834145,107.05919,133.68808,41.679276
914,116.09848,153.57883,43.73662,62.522003,64.59786,83.47656,66.86036
915,116.57413,127.2664,45.522686,61.626213,64.39882,27.878166,63.945534
916,104.99195,66.18815,83.44258,52.95208,39.81444,125.909424,109.41588
917,127.49419,25.359493,44.918755,97.47211,89.37927,125.613785,138.89857
918,148.25977,150.82178,70.21576,41.801857,40.566147,116.54491,71.40336
919,14.001255,31.733446,69.26374,130.93153,131.2558,110.016426,81.541336
920,9.433339,35.200466,74.67443,128.07333,138.5817,112.897736,102.6378
921,10.130169,15.254781,69.59875,164.6062,155.01952,133.367,109.80005
922,38.538647,25.993818,57.036953,95.127754,84.820915,51.119328,108.64231
923,100.858734,106.849365,48.213818,86.14108,93.93741,77.40836,99.115776
924,33.74986,90.65728,19.52838,169.77594,162.01878,118.574455,135.35686
925,29.353434,130.19888,21.353514,161.35779,157.38287,106.07973,139.55261
926,69.911835,52.23667,79.56846,169.46361,163.3746,89.4424,88.78379
927,85.76015,67.544334,69.43392,169.29503,162.38113,102.931656,112.276855
928,76.822365,77.79865,72.19124,51.673534,50.728363,37.835747,61.19289
929,71.31083,87.941696,77.527016,55.78291,52.16587,107.458374,94.515785
930,53.01088,39.090996,82.97552,122.1547,126.12584,92.74509,161.17764
931,92.30905,124.743484,41.351307,166.13121,156.60005,121.99444,164.7406
